"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE12500105170648489890";"03.08.26";"03.08.26";"KARTENZAHLUNG";"EDEKA MUSTERSTADT 2026-08-03";"";"";"";"";"";"";"EDEKA";"DE11222233334444555501";"XXXXDE11";"-47,32";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"02.08.26";"02.08.26";"KARTENZAHLUNG";"ROSSMANN FIL. 4471";"";"";"";"";"";"";"ROSSMANN";"DE11222233334444555502";"XXXXDE11";"-14,95";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"01.08.26";"01.08.26";"LASTSCHRIFT";"Netflix.com Rechnung 08/2026";"";"";"";"";"";"";"Netflix";"IE55NTFX99900000000001";"XXXXDE11";"-12,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"31.07.26";"31.07.26";"KARTENZAHLUNG";"SHELL STATION MUSTERWEG";"";"";"";"";"";"";"Shell";"DE11222233334444555503";"XXXXDE11";"-62,10";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"30.07.26";"30.07.26";"UEBERWEISUNG";"Erstattung Reisekosten";"";"";"";"";"";"";"Arbeitgeber GmbH";"DE99888877776666555544";"XXXXDE11";"85,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"29.07.26";"29.07.26";"KARTENZAHLUNG";"LIEFERANDO.DE BERLIN";"";"";"";"";"";"";"Lieferando";"DE11222233334444555504";"XXXXDE11";"-28,50";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"28.07.26";"28.07.26";"LASTSCHRIFT";"Spotify Premium Abo";"";"";"";"";"";"";"Spotify";"IE29SPTF88800000000002";"XXXXDE11";"-9,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"27.07.26";"27.07.26";"KARTENZAHLUNG";"ALDI SUED SAGT DANKE";"";"";"";"";"";"";"Aldi";"DE11222233334444555505";"XXXXDE11";"-31,44";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"26.07.26";"26.07.26";"UEBERWEISUNG";"Kfz-Versicherung Nachzahlung";"";"";"";"";"";"";"Allianz Versicherung";"DE44111122223333444401";"XXXXDE11";"-18,20";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"25.07.26";"25.07.26";"KARTENZAHLUNG";"DECATHLON MUSTERSTADT";"";"";"";"";"";"";"Decathlon";"DE11222233334444555506";"XXXXDE11";"-79,95";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"24.07.26";"24.07.26";"KARTENZAHLUNG";"REWE SAGT DANKE";"";"";"";"";"";"";"REWE";"DE11222233334444555507";"XXXXDE11";"-52,18";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"23.07.26";"23.07.26";"LASTSCHRIFT";"Telekom Rechnung 08/2026";"";"";"";"";"";"";"Telekom Deutschland";"DE33111122223333444402";"XXXXDE11";"-34,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"22.07.26";"22.07.26";"KARTENZAHLUNG";"APOTHEKE AM RATHAUS";"";"";"";"";"";"";"Apotheke am Rathaus";"DE11222233334444555508";"XXXXDE11";"-9,60";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"21.07.26";"21.07.26";"KARTENZAHLUNG";"ARAL TANKSTELLE A9";"";"";"";"";"";"";"Aral";"DE11222233334444555509";"XXXXDE11";"-71,20";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"20.07.26";"20.07.26";"KARTENZAHLUNG";"LIDL SAGT DANKE";"";"";"";"";"";"";"Lidl";"DE11222233334444555510";"XXXXDE11";"-24,77";"EUR";"Umsatz gebucht"
